序号,脉宽fs,频率kHz,间距mm,重复加工次数,速度mm/s,mean_depth_um,Sa_um,Sq_um,Sz_um,min_depth_um,max_depth_um
45,223,5,0.008,3,40,29.142,1.758,2.424,14.021,25.928,39.949
46,500,40,0.008,1,10,4.17,0.415,0.521,3.186,2.663,5.849
47,500,2,0.004,2,50,0.697,0.273,0.37,2.6,-0.408,2.193
48,500,20,0.01,5,30,1.039,0.63,0.837,5.244,-0.589,4.656
49,1000,40,0.01,3,40,2.965,0.663,0.826,5.164,0.934,6.098
50,1000,20,0.002,3,50,23.163,2.024,2.759,16.362,19.161,35.524
51,4000,2,0.008,2,20,8.319,0.868,1.086,6.569,5.616,12.184
52,223,5,0.008,2,40,-0.064,0.278,0.334,2.381,-1.519,0.862
53,1000,20,0.004,4,50,63.265,3.336,4.531,31.5,50.365,81.866
54,500,5,0.004,1,30,37.2,4.281,5.999,31.657,30.506,62.163
55,1000,10,0.002,1,50,35.272,3.987,5.24,27.826,28.996,56.822
56,223,5,0.01,5,20,7.371,0.831,0.991,4.459,5.309,9.768
57,2000,2,0.01,5,40,7.05,1.499,1.993,13.847,3.466,17.313
58,2000,10,0.01,5,20,0.447,0.418,0.503,3.041,-0.978,2.062
59,500,20,0.004,3,40,3.766,1.631,2.085,11.175,0.301,11.477
60,223,20,0.004,1,50,29.991,3.613,5.056,32.707,24.136,56.843
61,223,10,0.006,1,40,3.585,0.562,0.703,6.222,0.446,6.668
62,4000,10,0.008,3,40,3.074,0.374,0.47,3.711,1.116,4.827
63,2000,10,0.008,1,10,15.697,1.143,1.416,7.301,12.578,19.879
64,500,10,0.01,3,30,1.147,0.492,0.645,4.852,-0.554,4.297
65,2000,5,0.004,3,30,44.433,4.771,6.795,46.066,36.62,82.685
66,223,20,0.002,1,10,4.308,0.482,0.653,6.285,2.349,8.634
67,500,5,0.004,3,50,2.91,0.763,0.987,7.372,0.224,7.596
68,223,5,0.01,4,20,6.586,0.659,0.848,5.116,4.948,10.064
69,2000,20,0.006,4,30,0.575,0.205,0.284,3.647,-1.782,1.865
70,2000,40,0.008,5,10,16.493,1.213,1.548,8.793,13.692,22.485
71,500,40,0.002,1,10,4.408,0.454,0.578,4.549,2.425,6.974
72,1000,5,0.008,4,50,44.465,5.318,6.725,42.133,35.05,77.183
73,2000,2,0.006,3,30,3.623,0.603,0.767,5.509,1.233,6.742
74,4000,20,0.008,2,30,0.932,0.716,0.921,5.795,-1.082,4.714
75,500,2,0.008,4,30,42.485,5.555,8.061,40.096,36.439,76.535
76,2000,2,0.004,2,50,1.017,0.632,0.81,5.968,-1.192,4.776
77,4000,5,0.006,4,20,3.673,0.709,0.907,5.306,1.593,6.899
78,1000,2,0.004,4,20,1.803,0.684,1.037,7.567,-2.063,5.504
79,223,2,0.004,5,40,23.794,0.916,1.239,9.474,21.076,30.55
80,500,40,0.004,2,20,8.67,3.9,4.424,18.035,2.171,20.207
81,1000,10,0.006,2,10,5.503,0.507,0.635,4.139,3.945,8.084
82,500,20,0.008,3,10,5.496,0.524,0.664,4.401,3.619,8.02
83,223,40,0.008,1,10,2.758,0.57,0.702,4.657,0.836,5.493
84,500,5,0.006,2,20,12.866,1.155,1.392,7.879,9.578,17.458
85,2000,40,0.008,4,40,9.744,0.58,0.709,4.523,7.996,12.519
86,500,2,0.008,4,50,33.397,4.339,6.631,45.017,26.969,71.986
87,500,2,0.008,5,20,6.011,0.501,0.646,4.775,4.639,9.414
88,223,2,0.002,3,30,6.059,0.916,1.316,10.726,3.436,14.161
89,1000,10,0.008,4,10,11.393,1.765,2.142,9.5,4.445,13.945
90,223,20,0.006,5,40,8.139,0.894,1.206,6.791,5.521,12.312
91,500,20,0.01,1,10,2.319,0.312,0.398,2.67,1.104,3.774
92,4000,40,0.002,5,50,6.185,0.637,0.809,5.019,3.734,8.752
93,1000,20,0.004,5,20,2.479,0.655,0.852,4.64,0.143,4.783
94,500,5,0.006,5,50,49.219,8.424,10.863,43.54,38.262,81.802
95,2000,10,0.01,3,30,68.372,9.241,10.073,29.752,57.418,87.17
96,4000,5,0.006,5,40,4.095,0.507,0.619,3.683,2.053,5.736
97,4000,10,0.002,5,40,25.867,5.94,8.93,55.082,20.292,75.374
98,500,10,0.008,2,50,4.751,0.472,0.578,3.409,3.124,6.532
99,223,2,0.002,2,30,4.049,0.616,0.762,4.691,1.766,6.457
100,223,40,0.002,4,40,68.92,6.457,7.968,30.612,58.525,89.137
101,2000,5,0.01,3,20,1.172,0.614,0.74,4.988,-0.633,4.355
102,1000,5,0.006,1,10,1.608,0.415,0.531,2.989,0.271,3.26
103,223,2,0.002,4,30,7.6,0.74,0.965,5.559,5.21,10.769
104,223,5,0.01,5,40,5.179,1.001,1.262,6.635,2.645,9.28
105,2000,10,0.002,3,20,18.102,1.398,1.938,11.728,14.785,26.513
106,2000,2,0.01,1,20,-0.216,0.123,0.168,1.778,-1.195,0.583
107,1000,5,0.004,4,20,8.015,1.085,1.488,10.4,4.346,14.747
108,4000,5,0.01,3,10,0.629,0.588,0.828,4.793,-0.567,4.225
109,1000,10,0.002,5,40,47.879,8.476,10.633,47.485,37.162,84.647
110,4000,40,0.006,3,20,20.99,2.135,2.724,15.678,17.981,33.659
111,1000,40,0.002,1,20,42.584,4.827,6.015,29.347,33.31,62.657
112,4000,10,0.006,2,30,2.04,0.301,0.37,2.911,0.641,3.552
113,2000,10,0.006,1,20,1.368,0.444,0.548,4.056,-0.682,3.374
114,1000,40,0.002,2,30,63.609,8.398,10.005,33.742,51.508,85.25
115,223,10,0.01,3,30,6.106,0.764,0.977,6.529,3.493,10.023
116,223,2,0.006,2,10,0.29,0.328,0.474,3.634,-0.827,2.807
117,4000,20,0.008,4,20,9.364,0.573,0.729,4.637,7.522,12.159
118,4000,10,0.004,4,30,7.006,0.432,0.61,5.009,5.623,10.632
119,223,2,0.01,5,10,2.925,1.92,2.529,11.202,-0.824,10.378
120,223,40,0.01,5,30,46.557,6.694,9.338,42.549,39.221,81.77
