序号,脉宽fs,频率kHz,间距mm,重复加工次数,速度mm/s,mean_depth_um,Sa_um,Sq_um,Sz_um,min_depth_um,max_depth_um
1,2000,10,0.004,5,50,19.628,0.954,1.275,9.246,15.678,24.924
2,223,2,0.006,3,30,13.802,1.413,2.031,18.155,4.216,22.371
3,2000,10,0.004,3,40,12.381,0.908,1.117,6.92,9.352,16.272
4,223,40,0.006,2,30,7.01,0.625,0.873,5.371,5.806,11.177
5,4000,10,0.008,5,20,28.762,2.752,3.833,20.729,24.056,44.785
6,2000,10,0.002,1,20,5.353,0.569,0.753,4.552,3.647,8.199
7,1000,40,0.008,5,10,0.458,0.169,0.222,2.438,-1.04,1.397
8,500,40,0.006,4,10,52.003,7.325,9.131,35.217,43.364,78.581
9,2000,40,0.004,2,20,7.226,1.764,2.001,9.201,2.779,11.979
10,500,5,0.004,1,50,32.818,4.1,5.473,32.316,26.821,59.138
11,2000,20,0.002,4,40,54.659,9.022,10.558,38.796,44.033,82.828
12,223,20,0.008,3,50,72.63,4.477,5.247,21.647,65.451,87.098
13,223,5,0.01,2,10,14.575,1.124,1.379,9.35,11.701,21.05
14,2000,40,0.004,2,50,2.483,0.511,0.651,4.317,0.666,4.983
15,500,5,0.01,3,10,10.08,0.877,1.08,6.229,7.494,13.723
16,500,20,0.002,1,10,3.303,1.041,1.453,8.683,0.523,9.205
17,500,40,0.002,1,50,7.782,0.689,0.86,5.45,5.021,10.472
18,4000,20,0.01,4,50,44.827,3.743,4.831,23.806,37.24,61.047
19,1000,2,0.008,1,30,11.95,2.122,3.116,16.5,7.505,24.004
20,2000,2,0.006,4,40,0.97,1.337,1.593,6.943,-1.555,5.388
21,500,20,0.002,3,40,11.855,0.834,1.038,6.463,9.458,15.921
22,223,10,0.004,3,10,70.354,7.702,8.648,26.029,61.449,87.478
23,2000,5,0.006,2,40,90.201,3.432,4.297,24.073,78.039,102.113
24,4000,40,0.01,2,20,2.435,0.538,0.694,4.841,-0.019,4.822
25,4000,5,0.002,2,30,7.542,0.691,0.845,5.015,5.191,10.206
26,1000,40,0.004,5,50,3.194,0.294,0.378,2.404,2.06,4.465
27,4000,20,0.01,1,50,13,1.159,1.454,7.059,10.983,18.042
28,4000,20,0.006,4,30,1.122,0.422,0.54,3.577,-0.29,3.287
29,1000,40,0.002,1,10,0.514,0.148,0.203,2.56,-1.102,1.458
30,2000,10,0.004,4,20,44.016,4.666,5.858,33.49,34.819,68.309
31,1000,5,0.01,2,50,3.992,0.539,0.685,4.286,1.757,6.043
32,1000,5,0.006,5,50,1.67,0.337,0.383,1.801,0.719,2.521
33,4000,40,0.004,5,30,23.08,0.984,1.275,9.057,20.003,29.06
34,4000,40,0.008,2,20,68.155,5.009,5.765,21.29,60.606,81.896
35,1000,2,0.002,3,40,33.122,3.408,4.831,30.562,28.792,59.354
36,1000,20,0.01,4,40,5.397,0.899,1.163,8.471,2.245,10.716
37,500,10,0.006,1,40,14.908,0.969,1.173,6.18,12.388,18.568
38,4000,20,0.002,4,40,3.063,0.391,0.5,3.899,1.355,5.254
39,4000,2,0.006,1,10,2.374,0.313,0.394,2.53,1.013,3.543
40,1000,2,0.008,4,50,0.026,0.141,0.196,2.303,-0.878,1.425
41,4000,20,0.01,1,10,60.525,7.27,8.666,31.536,52.504,84.04
42,4000,2,0.004,2,10,0.87,0.307,0.409,2.815,-0.121,2.695
43,2000,2,0.002,2,50,5.289,0.956,1.216,5.469,3.371,8.84
44,1000,20,0.006,5,30,1.953,0.564,0.684,4.395,0.157,4.553
