序号,脉宽fs,频率kHz,间距mm,重复加工次数,速度mm/s,mean_depth_um,Sa_um,Sq_um,Sz_um,min_depth_um,max_depth_um
80,4000,2,0.002,6,5,13.436,1.815,2.262,14.014,8.807,22.821
81,1000,20,0.004,6,5,37.113,0.632,0.909,9.48,33.255,42.735
82,500,10,0.003,2,20,11.758,1.745,2.062,12.432,5.445,17.877
82,500,20,0.003,2,20,17.964,1.896,2.468,16.658,8.593,25.251
83,2000,50,0.006,3,1,63.075,1.484,1.867,10.403,58.422,68.826
84,500,20,0.003,6,1,70.712,0.858,1.029,8.152,67.207,75.359
85,2000,50,0.006,6,1,67.435,1.703,2.23,16.251,59.355,75.606
86,4000,10,0.003,3,10,11.469,1.957,2.388,14.163,5.163,19.326
87,6000,20,0.005,5,5,22.572,2.68,3.205,17.056,13.643,30.7
88,6000,5,0.006,2,10,1.215,2.365,2.891,17.39,-5.762,11.628
89,500,20,0.003,2,15,13.565,1.853,2.211,15.629,6.421,22.05
90,2000,50,0.002,6,20,59.774,2.223,2.572,11.398,55.429,66.827
91,4000,2,0.004,4,1,17.853,1.105,1.407,9.804,12.09,21.894
92,6000,50,0.004,6,1,60.953,2.15,2.65,19.114,53.472,72.586
93,500,20,0.004,4,1,55.504,0.84,1.31,16.39,42.476,58.866
94,1000,50,0.004,4,10,41.685,2.99,3.532,18.696,34.501,53.198
95,1000,50,0.006,4,15,29.84,2.435,2.988,17.159,22.605,39.764
96,6000,2,0.004,2,10,0.238,1.372,1.806,15.431,-5.182,10.249
97,500,20,0.002,3,1,57.781,0.872,1.169,7.705,54.988,62.693
98,6000,5,0.005,4,10,6.759,1.745,2.042,9.627,1.868,11.495
99,2000,50,0.002,4,5,58.712,2.061,2.452,12.799,54.065,66.865
100,1000,50,0.006,6,20,41.21,2.692,3.218,19.031,31.809,50.84
101,4000,10,0.003,6,15,18.358,1.478,1.845,13.553,10.65,24.203
102,6000,2,0.004,5,10,-0.122,0.869,1.146,8.986,-3.646,5.339
103,6000,2,0.004,2,5,-0.2229,0.7719,1.0112,9.5538,-3.5495,6.0042
104,2000,50,0.003,2,10,28.92,1.858,2.492,15.426,25.033,40.459
105,2000,50,0.002,2,5,40.54,1.07,1.421,10.972,36.291,47.263
106,1000,50,0.005,5,20,44.936,3.837,4.565,20.127,36.621,56.749
107,4000,5,0.005,2,10,5.033,1.394,1.758,14.575,-2.374,12.201
108,4000,10,0.002,5,5,29.146,1.499,1.79,11.988,22.209,34.197
109,6000,10,0.006,3,20,7.137,1.255,1.543,10.409,2.857,13.267
110,1000,50,0.004,4,5,52.034,2.63,3.278,15.869,46.672,62.541
111,6000,5,0.002,6,1,32.475,2.918,3.473,19.878,22.284,42.163
112,4000,50,0.003,4,15,43.789,1.981,2.555,19.63,32.296,51.926
113,4000,5,0.006,3,10,5.205,1.364,1.745,13.148,-0.773,12.376
114,500,50,0.005,5,1,76.073,2.14,2.595,16.248,67.148,83.396
115,2000,50,0.003,5,15,58.458,1.694,2.186,15.016,52.958,67.974
116,6000,5,0.005,2,10,1.468,1.56,1.88,12.306,-2.527,9.779
117,6000,10,0.004,4,5,15.558,1.71,2.064,12.311,9.442,21.752
118,500,50,0.006,6,20,45.04,2.562,3.235,22.879,38.706,61.585
119,4000,50,0.005,3,5,40.507,1.544,1.895,11.961,34.598,46.559
120,4000,10,0.006,5,5,16.039,1.242,1.55,9.801,11.074,20.875
addition,500,2,0.004,1,10,0.594,1.415,1.908,11.593,-2.943,8.649
addition,500,5,0.004,5,1,39.258,0.671,0.839,4.907,36.812,41.719
addition,500,5,0.005,6,20,11.504,2.692,3.455,18.992,3.488,22.48
addition,4000,10,0.003,3,15,10.616,1.276,1.639,13.132,4.866,17.997
addition,6000,2,0.005,6,20,1.095,2.082,2.509,15.064,-4.722,10.342
addition,6000,2,0.002,5,10,7.326,1.43,1.715,10.163,1.977,12.141
